Date, Time, Temperature (C), Humidity (%)
2020-08-09,19:00:00,24.23,41.10
2020-08-09,19:30:00,24.26,40.18
2020-08-09,20:00:00,24.18,38.54
2020-08-09,20:30:00,24.08,38.66
2020-08-09,21:00:00,24.03,38.82
2020-08-09,21:30:00,23.98,38.03
2020-08-09,22:00:00,23.85,37.50
2020-08-09,22:30:00,23.64,38.22
2020-08-09,23:00:00,23.52,38.33
2020-08-09,23:30:00,23.39,40.23
2020-08-10,00:00:00,23.20,40.62
2020-08-10,00:30:00,23.12,40.52
2020-08-10,01:00:00,23.01,40.87
2020-08-10,01:30:00,22.82,41.52
2020-08-10,02:00:00,22.64,41.18
2020-08-10,02:30:00,22.53,41.58
2020-08-10,03:00:00,22.50,41.41
2020-08-10,03:30:00,22.40,41.22
2020-08-10,04:00:00,22.26,41.62
2020-08-10,04:30:00,22.10,41.77
2020-08-10,05:00:00,21.99,42.11
2020-08-10,05:30:00,21.90,41.94
2020-08-10,06:00:00,21.81,41.26
2020-08-10,06:30:00,21.76,41.58
2020-08-10,07:00:00,21.61,41.66
2020-08-10,07:30:00,21.47,40.98
2020-08-10,08:00:00,21.31,41.27
2020-08-10,08:30:00,21.62,41.22
2020-08-10,09:00:00,22.11,40.56
2020-08-10,09:30:00,22.44,39.39
2020-08-10,10:00:00,22.68,38.84
2020-08-10,10:30:00,22.86,38.47
2020-08-10,11:00:00,23.09,38.04
2020-08-10,11:30:00,23.17,36.30
2020-08-10,12:00:00,23.53,34.45
2020-08-10,12:30:00,23.62,34.12
2020-08-10,13:00:00,23.84,32.72
2020-08-10,13:30:00,24.02,32.68
2020-08-10,14:00:00,24.18,32.12
2020-08-10,14:30:00,24.46,31.43
2020-08-10,15:00:00,24.82,30.96
2020-08-10,15:30:00,25.32,30.54
2020-08-10,16:00:00,25.90,29.75
2020-08-10,16:30:00,25.67,30.16
2020-08-10,17:00:00,25.37,31.65
2020-08-10,17:30:00,25.27,32.66
2020-08-10,18:00:00,25.20,34.32
2020-08-10,18:30:00,25.06,35.73
2020-08-10,19:00:00,25.27,41.94
2020-08-10,19:30:00,25.12,35.81
2020-08-10,20:00:00,25.02,32.86
2020-08-10,20:30:00,24.91,33.74
2020-08-10,21:00:00,24.82,33.69
2020-08-10,21:30:00,24.72,34.96
2020-08-10,22:00:00,24.69,34.63
2020-08-10,22:30:00,24.72,34.00
2020-08-10,23:00:00,24.54,33.41
2020-08-10,23:30:00,24.11,34.36
2020-08-11,00:00:00,24.38,35.00
2020-08-11,00:30:00,24.32,35.66
2020-08-11,01:00:00,24.25,35.88
2020-08-11,01:30:00,24.18,35.83
2020-08-11,02:00:00,24.17,35.71
2020-08-11,02:30:00,24.09,36.55
2020-08-11,03:00:00,23.65,37.82
2020-08-11,03:30:00,23.43,38.30
2020-08-11,04:00:00,23.55,38.26
2020-08-11,04:30:00,23.80,39.60
2020-08-11,05:00:00,23.87,40.55
2020-08-11,05:30:00,23.85,41.27
2020-08-11,06:00:00,23.86,41.65
2020-08-11,06:30:00,23.89,42.14
2020-08-11,07:00:00,23.95,41.74
2020-08-11,07:30:00,23.87,41.27
2020-08-11,08:00:00,23.87,42.54
2020-08-11,08:30:00,23.64,41.37
2020-08-11,09:00:00,23.61,40.35
2020-08-11,09:30:00,23.80,45.31
2020-08-11,10:00:00,23.82,44.71
2020-08-11,10:30:00,23.84,43.65
2020-08-11,11:00:00,23.96,42.93
2020-08-11,11:30:00,23.98,41.58
2020-08-11,12:00:00,24.17,41.91
2020-08-11,12:30:00,24.19,42.48
2020-08-11,13:00:00,24.42,38.04
2020-08-11,13:30:00,24.75,37.42
2020-08-11,14:00:00,24.90,37.14
2020-08-11,14:30:00,25.17,35.02
2020-08-11,15:00:00,25.21,35.39
2020-08-11,15:30:00,25.50,34.64
2020-08-11,16:00:00,25.95,34.28
2020-08-11,16:30:00,25.83,34.48
2020-08-11,17:00:00,25.61,36.77
2020-08-11,17:30:00,25.54,37.12
2020-08-11,18:00:00,25.49,39.23
2020-08-11,18:30:00,25.47,39.47
2020-08-11,19:00:00,25.47,38.65
2020-08-11,19:30:00,25.31,37.41
2020-08-11,20:00:00,25.13,36.43
2020-08-11,20:30:00,25.09,37.33
2020-08-11,21:00:00,24.99,36.34
2020-08-11,21:30:00,24.86,37.56
2020-08-11,22:00:00,25.00,38.11
2020-08-11,22:30:00,24.86,38.75
2020-08-11,23:00:00,24.31,37.11
2020-08-11,23:30:00,24.56,38.38
2020-08-12,00:00:00,24.40,37.29
2020-08-12,00:30:00,24.35,37.35
2020-08-12,01:00:00,24.32,37.68
2020-08-12,01:30:00,24.25,38.13
2020-08-12,02:00:00,24.26,38.14
2020-08-12,02:30:00,24.12,38.24
2020-08-12,03:00:00,24.10,38.15
2020-08-12,03:30:00,24.03,38.08
2020-08-12,04:00:00,23.80,38.22
2020-08-12,04:30:00,23.83,38.13
2020-08-12,05:00:00,23.59,38.78
2020-08-12,05:30:00,23.51,39.14
2020-08-12,06:00:00,23.88,39.61
2020-08-12,06:30:00,23.92,40.16
2020-08-12,07:00:00,23.84,39.39
2020-08-12,07:30:00,23.80,39.10
2020-08-12,08:00:00,23.66,39.44
2020-08-12,08:30:00,23.75,39.94
2020-08-12,09:00:00,23.53,39.76
2020-08-12,09:30:00,23.65,39.25
2020-08-12,10:00:00,23.90,38.93
2020-08-12,10:30:00,24.05,38.54
2020-08-12,11:00:00,24.28,36.95
2020-08-12,11:30:00,24.25,37.66
2020-08-12,12:00:00,24.42,36.07
2020-08-12,12:30:00,24.51,37.55
2020-08-12,13:00:00,24.63,37.18
2020-08-12,13:30:00,24.98,35.85
2020-08-12,14:00:00,25.44,34.12
2020-08-12,14:30:00,25.53,33.81
2020-08-12,15:00:00,25.93,34.95
2020-08-12,15:30:00,25.90,36.37
2020-08-12,16:00:00,26.21,35.35
2020-08-12,16:30:00,26.21,35.02
2020-08-12,17:00:00,26.10,35.68
2020-08-12,17:30:00,26.02,36.10
2020-08-12,18:00:00,26.26,37.01
2020-08-12,18:30:00,26.03,37.83
2020-08-12,19:00:00,26.04,37.64
2020-08-12,19:30:00,26.03,37.97
2020-08-12,20:00:00,25.96,38.98
2020-08-12,20:30:00,26.02,40.06
2020-08-12,21:00:00,26.01,36.99
2020-08-12,21:30:00,25.93,35.58
2020-08-12,22:00:00,25.51,35.46
2020-08-12,22:30:00,25.45,36.76
2020-08-12,23:00:00,25.45,36.84
2020-08-12,23:30:00,25.47,37.15
2020-08-13,00:00:00,25.50,37.42
2020-08-13,00:30:00,25.36,38.04
2020-08-13,01:00:00,25.35,38.56
2020-08-13,01:30:00,25.16,38.65
2020-08-13,02:00:00,24.76,38.12
2020-08-13,02:30:00,24.62,38.01
2020-08-13,03:00:00,24.90,37.69
2020-08-13,03:30:00,25.03,38.19
2020-08-13,04:00:00,24.95,38.39
2020-08-13,04:30:00,24.89,37.87
2020-08-13,05:00:00,24.74,38.70
2020-08-13,05:30:00,24.78,38.54
2020-08-13,06:00:00,24.63,38.47
2020-08-13,06:30:00,24.40,38.78
2020-08-13,07:00:00,24.59,38.56
2020-08-13,07:30:00,24.68,38.72
2020-08-13,08:00:00,24.61,39.36
2020-08-13,08:30:00,24.59,40.70
2020-08-13,09:00:00,24.69,41.58
2020-08-13,09:30:00,24.78,41.71
2020-08-13,10:00:00,24.92,41.55
2020-08-13,10:30:00,25.05,41.27
2020-08-13,11:00:00,25.21,40.91
2020-08-13,11:30:00,25.37,39.75
2020-08-13,12:00:00,25.52,39.39
2020-08-13,12:30:00,25.79,37.03
2020-08-13,13:00:00,26.01,37.25
2020-08-13,13:30:00,26.09,37.27
2020-08-13,14:00:00,26.32,36.25
2020-08-13,14:30:00,26.61,35.60
2020-08-13,15:00:00,26.90,35.81
2020-08-13,15:30:00,27.12,37.64
2020-08-13,16:00:00,27.22,35.42
2020-08-13,16:30:00,27.21,37.20
2020-08-13,17:00:00,26.90,38.75
2020-08-13,17:30:00,26.83,39.14
2020-08-13,18:00:00,26.79,39.64
2020-08-13,18:30:00,26.76,40.03
2020-08-13,19:00:00,26.75,40.29
2020-08-13,19:30:00,26.68,41.48
2020-08-13,20:00:00,26.65,41.92
2020-08-13,20:30:00,26.69,42.26
2020-08-13,21:00:00,26.71,42.06
2020-08-13,21:30:00,26.56,43.06
2020-08-13,22:00:00,26.35,42.52
2020-08-13,22:30:00,26.30,42.64
2020-08-13,23:00:00,26.18,41.82
2020-08-13,23:30:00,26.15,41.63
2020-08-14,00:00:00,26.13,41.86
2020-08-14,00:30:00,25.92,42.09
2020-08-14,01:00:00,25.89,41.88
2020-08-14,01:30:00,25.73,42.31
2020-08-14,02:00:00,25.43,43.21
2020-08-14,02:30:00,25.32,43.78
2020-08-14,03:00:00,25.48,43.31
2020-08-14,03:30:00,25.30,43.28
2020-08-14,04:00:00,24.97,43.70
2020-08-14,04:30:00,25.19,42.91
2020-08-14,05:00:00,25.17,42.89
2020-08-14,05:30:00,25.15,43.24
2020-08-14,06:00:00,24.94,42.81
2020-08-14,06:30:00,24.94,42.83
2020-08-14,07:00:00,24.72,43.44
2020-08-14,07:30:00,25.03,42.91
2020-08-14,08:00:00,25.21,42.90
2020-08-14,08:30:00,25.28,43.75
2020-08-14,09:00:00,25.37,44.32
2020-08-14,09:30:00,25.31,44.72
2020-08-14,10:00:00,25.43,45.38
2020-08-14,10:30:00,25.48,45.19
2020-08-14,11:00:00,25.69,44.00
2020-08-14,11:30:00,25.89,42.35
2020-08-14,12:00:00,26.03,42.12
2020-08-14,12:30:00,26.18,41.44
2020-08-14,13:00:00,26.28,41.58
2020-08-14,13:30:00,26.49,40.97
2020-08-14,14:00:00,26.71,40.42
2020-08-14,14:30:00,26.86,40.47
2020-08-14,15:00:00,27.14,40.07
2020-08-14,15:30:00,27.44,39.97
2020-08-14,16:00:00,27.67,39.07
2020-08-14,16:30:00,27.79,38.44
2020-08-14,17:00:00,27.79,38.15
2020-08-14,17:30:00,27.89,37.59
2020-08-14,18:00:00,27.79,38.60
2020-08-14,18:30:00,27.87,39.68
2020-08-14,19:00:00,27.78,41.44
2020-08-14,19:30:00,27.72,41.70
2020-08-14,20:00:00,27.72,42.97
2020-08-14,20:30:00,27.66,41.99
2020-08-14,21:00:00,27.41,41.68
2020-08-14,21:30:00,27.10,41.69
2020-08-14,22:00:00,26.92,42.36
2020-08-14,22:30:00,26.87,42.77
2020-08-14,23:00:00,26.77,43.14
2020-08-14,23:30:00,26.64,43.06
2020-08-15,00:00:00,26.64,44.38
