Data,Hora,TEMP(C),UR (%)
31/08/2020,04:00,19.3,
31/08/2020,05:00,18.6,
31/08/2020,06:00,18.1,
31/08/2020,07:00,18.0,
31/08/2020,08:00,19.2,
31/08/2020,09:00,20.6,
31/08/2020,10:00,22.2,
31/08/2020,11:00,24.0,
31/08/2020,12:00,26.3,
31/08/2020,13:00,28.6,
31/08/2020,14:00,29.8,
31/08/2020,15:00,30.7,
31/08/2020,16:00,30.1,
31/08/2020,17:00,29.0,
31/08/2020,18:00,26.7,
31/08/2020,19:00,23.6,
31/08/2020,20:00,21.7,
31/08/2020,21:00,20.9,
31/08/2020,22:00,20.7,
31/08/2020,23:00,20.2,
31/08/2020,24:00,20.1,
01/09/2020,01:00,20.1,
01/09/2020,02:00,19.8,
01/09/2020,03:00,19.5,
01/09/2020,04:00,19.3,
01/09/2020,05:00,19.2,
01/09/2020,06:00,19.1,
01/09/2020,07:00,19.0,
01/09/2020,08:00,20.5,
01/09/2020,09:00,22.2,
01/09/2020,10:00,23.8,
01/09/2020,11:00,24.9,
01/09/2020,12:00,26.2,
01/09/2020,13:00,26.9,
01/09/2020,14:00,27.4,
01/09/2020,15:00,27.8,
01/09/2020,16:00,27.9,
01/09/2020,17:00,27.2,
01/09/2020,18:00,25.2,
01/09/2020,19:00,22.8,
01/09/2020,20:00,21.0,
01/09/2020,21:00,20.2,
01/09/2020,22:00,19.6,
01/09/2020,23:00,19.4,
01/09/2020,24:00,19.3,
02/09/2020,01:00,19.3,
02/09/2020,02:00,19.2,
02/09/2020,03:00,19.0,
02/09/2020,04:00,18.8,
02/09/2020,05:00,18.4,
02/09/2020,06:00,18.1,
02/09/2020,07:00,18.1,
02/09/2020,08:00,19.3,
02/09/2020,09:00,21.1,
02/09/2020,10:00,22.9,
02/09/2020,11:00,24.4,
02/09/2020,12:00,26.1,
02/09/2020,13:00,27.5,
02/09/2020,14:00,28.5,
02/09/2020,15:00,28.9,
02/09/2020,16:00,28.8,
02/09/2020,17:00,28.4,
02/09/2020,18:00,27.3,
02/09/2020,19:00,26.2,
02/09/2020,20:00,25.0,
02/09/2020,21:00,23.8,
02/09/2020,22:00,22.5,
02/09/2020,23:00,21.5,
02/09/2020,24:00,20.8,
03/09/2020,01:00,20.4,
03/09/2020,02:00,20.1,
03/09/2020,03:00,19.7,
03/09/2020,04:00,18.1,
03/09/2020,05:00,16.8,
03/09/2020,06:00,16.1,
03/09/2020,07:00,15.8,
03/09/2020,08:00,20.1,
03/09/2020,09:00,23.6,
03/09/2020,10:00,25.8,
03/09/2020,11:00,27.6,
03/09/2020,12:00,28.8,
03/09/2020,13:00,29.7,
03/09/2020,14:00,30.3,
03/09/2020,15:00,30.6,
03/09/2020,16:00,30.4,
03/09/2020,17:00,30.2,
03/09/2020,18:00,27.9,
03/09/2020,19:00,23.9,
03/09/2020,20:00,21.9,
03/09/2020,21:00,20.5,
03/09/2020,22:00,19.5,
03/09/2020,23:00,18.7,
03/09/2020,24:00,18.7,
